team_name,Years,iPF,PF,H,R,total_home_games,total_away_games
Plattsburgh St.,2021-2024,0.9796088514622856,98.77653108773714,6.588235294117647,6.869047619047619,51.0,84.0
Lawrence,2021-2024,0.97812100413162,98.6872602478972,8.020408163265307,8.388349514563107,49.0,103.0
Ill. Wesleyan,2021-2024,0.9777321576810034,98.6639294608602,6.5,6.803738317757009,56.0,107.0
Springfield,2021-2024,0.9773778185480029,98.64266911288017,5.836363636363636,6.113636363636363,55.0,44.0
Washington Col.,2021-2024,0.9769109782742325,98.61465869645394,6.654545454545454,6.977528089887641,55.0,89.0
Mt. St. Joseph,2021-2024,0.9768450751711926,98.61070451027155,6.317460317460317,6.625,63.0,96.0
Puget Sound,2021-2024,0.9766342889870561,98.59805733922336,6.36231884057971,6.675,69.0,80.0
RIT,2021-2024,0.9765336662668389,98.59201997601033,6.291666666666667,6.6022727272727275,48.0,88.0
Elmhurst,2021-2024,0.9763946825152225,98.58368095091336,5.978260869565218,6.275229357798165,46.0,109.0
Merchant Marine,2021-2024,0.9744745055330721,98.46847033198432,7.1891891891891895,7.576923076923077,74.0,78.0
Coast Guard,2021-2024,0.9738529304714059,98.43117582828435,6.392156862745098,6.745762711864407,51.0,59.0
Babson,2021-2024,0.9731198111743993,98.38718867046396,6.7846153846153845,7.171052631578948,65.0,76.0
Loras,2021-2024,0.9729180481830614,98.37508289098368,7.0,7.401869158878505,45.0,107.0
Tufts,2021-2024,0.970688729276573,98.24132375659438,7.121212121212121,7.565789473684211,66.0,76.0
Hiram,2021-2024,0.9702533717840547,98.21520230704328,5.346153846153846,5.685185185185185,52.0,108.0
Brevard,2021-2024,0.9702471469631485,98.21482881778891,6.705128205128205,7.130434782608695,78.0,69.0
Wis.-Whitewater,2021-2024,0.9689879065678431,98.13927439407058,9.175257731958762,9.783505154639176,97.0,97.0
Kean,2021-2024,0.9676324606646209,98.05794763987726,7.101010101010101,7.59375,99.0,64.0
Dominican (IL),2021-2024,0.9674056552486237,98.04433931491742,5.8,6.205479452054795,50.0,73.0
Saint Vincent,2021-2024,0.9667705521844117,98.0062331310647,6.1,6.5353535353535355,50.0,99.0
