"","year","team_name","conference","division","Jersey","player_name","Yr","Pos","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","Ht","B/T","team_id","conference_id","player_id","player_url"
"70",2024,"Alabama","SEC",1,"27","Ben Hess","Jr","P",15,15,5.8,68.1,60,47,44,35,106,0,305,256,9,1,0,13,7,12,0,0,0,1,1,0,43,46,5,5,0,35,"6-5","R/R",573998,911,8260268,"http://stats.ncaa.org/players/8260268?year_stat_category_id=15081"
"71",2024,"Alabama","SEC",1,"32","Braylon Myers","Jr","P",20,0,2.73,33,24,10,10,10,29,0,131,116,3,1,0,6,1,3,0,11,5,0,2,435,23,42,2,1,3,17,"6-2","L/R",573998,911,8262932,"http://stats.ncaa.org/players/8262932?year_stat_category_id=15081"
"72",2024,"Alabama","SEC",1,"23","Aidan Moza","Jr","P",20,3,9.77,31.1,40,40,34,19,40,0,158,128,13,2,0,9,9,5,1,23,9,3,3,564,30,22,3,3,1,11,"6-1","L/R",573998,911,8259230,"http://stats.ncaa.org/players/8259230?year_stat_category_id=15081"
"73",2024,"Alabama","SEC",1,"42","Alton Davis II","So","P",21,0,5.61,33.2,36,24,21,17,38,0,162,132,7,0,0,7,3,9,0,18,6,2,2,625,26,32,4,2,4,14,"6-5","L/L",573998,911,8287514,"http://stats.ncaa.org/players/8287514?year_stat_category_id=15081"
"74",2024,"Alabama","SEC",1,"8","Tyler Fay","Fr","P",23,0,7.94,34,38,32,30,16,32,0,166,141,9,1,0,6,4,8,1,20,11,1,0,636,31,37,1,2,1,8,"6-5","R/R",573998,911,8279196,"http://stats.ncaa.org/players/8279196?year_stat_category_id=15081"
"75",2024,"Alabama","SEC",1,"36","Hagan Banks","Jr","P",4,3,5.14,7,7,4,4,3,9,0,29,26,0,0,0,2,0,0,0,0,0,0,0,79,3,7,0,1,0,2,"6-4","R/R",573998,911,8283016,"http://stats.ncaa.org/players/8283016?year_stat_category_id=15081"
"76",2024,"Alabama","SEC",1,"4","Riley Quick","So","P",1,1,0,3,0,0,0,1,5,0,10,8,0,0,0,0,0,1,0,0,0,0,0,42,2,1,1,0,0,2,"6-6","R/R",573998,911,8282169,"http://stats.ncaa.org/players/8282169?year_stat_category_id=15081"
"77",2024,"Alabama","SEC",1,"19","Zane Probst","Sr","P",11,0,5.6,17.2,17,13,11,9,15,0,80,68,4,1,0,6,1,3,1,6,3,0,0,318,14,21,0,0,0,6,"6-4","R/R",573998,911,8280965,"http://stats.ncaa.org/players/8280965?year_stat_category_id=15081"
"78",2024,"Alabama","SEC",1,"33","Ariston Veasey","Fr","UT",1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,"6-1","R/R",573998,911,8429103,"http://stats.ncaa.org/players/8429103?year_stat_category_id=15081"
"79",2024,"Alabama","SEC",1,"35","Jansen Kenty","Fr","P",10,0,3.38,10.2,6,4,4,5,4,0,41,33,1,0,0,2,0,2,0,4,2,1,0,162,8,16,0,1,0,1,"6-0","L/L",573998,911,8429088,"http://stats.ncaa.org/players/8429088?year_stat_category_id=15081"
"80",2024,"Alabama","SEC",1,"39","Sam Mitchell","Fr","P",5,0,5.87,7.2,8,5,5,5,3,0,35,29,1,0,0,0,0,1,0,1,1,0,0,131,7,11,1,0,0,1,"6-7","R/R",573998,911,8429093,"http://stats.ncaa.org/players/8429093?year_stat_category_id=15081"
"81",2024,"Alabama","SEC",1,"50","Pierce George","So","P",12,0,4.76,11.1,8,6,6,11,10,0,52,36,2,0,1,0,3,3,1,5,1,1,1,189,7,13,1,0,0,1,"6-6","R/R",573998,911,8429109,"http://stats.ncaa.org/players/8429109?year_stat_category_id=15081"
"82",2024,"Alabama","SEC",1,"46","Coulson Buchanan","Jr","P",19,0,7.36,29.1,37,27,24,13,20,0,138,123,3,0,0,6,4,1,1,14,4,0,1,483,31,33,2,1,1,5,"5-10","R/R",573998,911,8429105,"http://stats.ncaa.org/players/8429105?year_stat_category_id=15081"
"83",2024,"Alabama","SEC",1,"26","Greg Farone","Sr","P",17,16,5.02,71.2,75,42,40,24,68,1,315,281,17,0,2,15,5,7,1,0,0,0,3,0,56,83,4,3,0,17,"6-6","L/L",573998,911,8429108,"http://stats.ncaa.org/players/8429108?year_stat_category_id=15081"
"84",2024,"Alabama","SEC",1,"28","Kade Snell","Jr","UT",10,6,6.08,23.2,27,17,16,7,23,0,110,96,4,1,0,7,0,5,0,4,2,1,1,338,26,19,1,0,0,4,"6-1","L/L",573998,911,8429133,"http://stats.ncaa.org/players/8429133?year_stat_category_id=15081"
"85",2024,"Alabama","SEC",1,"52","Jackson Baker","Fr","P",1,0,0,1,0,0,0,0,1,0,4,3,0,0,0,0,1,1,0,0,0,0,0,12,2,0,0,0,0,0,"6-1","R/R",573998,911,8429073,"http://stats.ncaa.org/players/8429073?year_stat_category_id=15081"
"86",2024,"Alabama","SEC",1,"40","Matthew Heiberger","Fr","P",16,0,5.24,22.1,28,15,13,7,22,0,104,92,5,0,0,2,0,5,1,15,6,0,0,385,25,14,2,0,1,6,"6-3","L/L",573998,911,8429086,"http://stats.ncaa.org/players/8429086?year_stat_category_id=15081"
